Date:  23:50, Sunday, October 29, 2023
Model name:Assem1
Study name:Thermal 1(-Predeterminado-)
Plot type: Thermal Thermal1
Time step: 40   time : 2000 Seconds
Result Type: Temp 


Node  ,Value (Kelvin)  ,X (mm)  ,Y (mm)  ,Z (mm)  ,Components
4  ,3.100e+002  ,1050.00000000  ,250.00000000  ,150.00000000  ,TP02-1
9743  ,3.101e+002  ,1016.12902832  ,250.00000000  ,150.00000000  ,TP02-1
5  ,3.102e+002  ,982.25805664  ,250.00000000  ,150.00000000  ,TP02-1
9740  ,3.105e+002  ,948.38708496  ,250.00000000  ,150.00000000  ,TP02-1
6  ,3.108e+002  ,914.51617432  ,250.00000000  ,150.00000000  ,TP02-1
9731  ,3.112e+002  ,880.64508057  ,250.00000000  ,150.00000000  ,TP02-1
7  ,3.117e+002  ,846.77423096  ,250.00000000  ,150.00000000  ,TP02-1
9719  ,3.122e+002  ,812.90319824  ,250.00000000  ,150.00000000  ,TP02-1
8  ,3.127e+002  ,779.03222656  ,250.00000000  ,150.00000000  ,TP02-1
9709  ,3.133e+002  ,745.16125488  ,250.00000000  ,150.00000000  ,TP02-1
9  ,3.139e+002  ,711.29028320  ,250.00000000  ,150.00000000  ,TP02-1
9700  ,3.146e+002  ,677.41937256  ,250.00000000  ,150.00000000  ,TP02-1
10  ,3.152e+002  ,643.54833984  ,250.00000000  ,150.00000000  ,TP02-1
9691  ,3.159e+002  ,609.67736816  ,250.00000000  ,150.00000000  ,TP02-1
11  ,3.165e+002  ,575.80645752  ,250.00000000  ,150.00000000  ,TP02-1
9682  ,3.172e+002  ,541.93548584  ,250.00000000  ,150.00000000  ,TP02-1
12  ,3.178e+002  ,508.06451416  ,250.00000000  ,150.00000000  ,TP02-1
9671  ,3.185e+002  ,474.19351196  ,250.00000000  ,150.00000000  ,TP02-1
13  ,3.191e+002  ,440.32257080  ,250.00000000  ,150.00000000  ,TP02-1
9662  ,3.197e+002  ,406.45162964  ,250.00000000  ,150.00000000  ,TP02-1
14  ,3.203e+002  ,372.58065796  ,250.00000000  ,150.00000000  ,TP02-1
9652  ,3.208e+002  ,338.70965576  ,250.00000000  ,150.00000000  ,TP02-1
15  ,3.213e+002  ,304.83871460  ,250.00000000  ,150.00000000  ,TP02-1
9641  ,3.217e+002  ,270.96777344  ,250.00000000  ,150.00000000  ,TP02-1
16  ,3.221e+002  ,237.09677124  ,250.00000000  ,150.00000000  ,TP02-1
9631  ,3.225e+002  ,203.22579956  ,250.00000000  ,150.00000000  ,TP02-1
17  ,3.228e+002  ,169.35484314  ,250.00000000  ,150.00000000  ,TP02-1
9620  ,3.230e+002  ,135.48381042  ,250.00000000  ,150.00000000  ,TP02-1
18  ,3.232e+002  ,101.61289978  ,250.00000000  ,150.00000000  ,TP02-1
9611  ,3.234e+002  ,67.74194336  ,250.00000000  ,150.00000000  ,TP02-1
19  ,3.235e+002  ,33.87096786  ,250.00000000  ,150.00000000  ,TP02-1
9602  ,3.235e+002  ,-0.00004768  ,250.00000000  ,150.00000000  ,TP02-1
20  ,3.235e+002  ,-33.87096786  ,250.00000000  ,150.00000000  ,TP02-1
9594  ,3.234e+002  ,-67.74191284  ,250.00000000  ,150.00000000  ,TP02-1
21  ,3.232e+002  ,-101.61289978  ,250.00000000  ,150.00000000  ,TP02-1
9585  ,3.230e+002  ,-135.48384094  ,250.00000000  ,150.00000000  ,TP02-1
22  ,3.228e+002  ,-169.35484314  ,250.00000000  ,150.00000000  ,TP02-1
9576  ,3.225e+002  ,-203.22576904  ,250.00000000  ,150.00000000  ,TP02-1
23  ,3.221e+002  ,-237.09677124  ,250.00000000  ,150.00000000  ,TP02-1
9567  ,3.217e+002  ,-270.96777344  ,250.00000000  ,150.00000000  ,TP02-1
24  ,3.213e+002  ,-304.83871460  ,250.00000000  ,150.00000000  ,TP02-1
9555  ,3.208e+002  ,-338.70971680  ,250.00000000  ,150.00000000  ,TP02-1
25  ,3.203e+002  ,-372.58065796  ,250.00000000  ,150.00000000  ,TP02-1
9545  ,3.197e+002  ,-406.45162964  ,250.00000000  ,150.00000000  ,TP02-1
26  ,3.191e+002  ,-440.32257080  ,250.00000000  ,150.00000000  ,TP02-1
9536  ,3.185e+002  ,-474.19357300  ,250.00000000  ,150.00000000  ,TP02-1
27  ,3.178e+002  ,-508.06451416  ,250.00000000  ,150.00000000  ,TP02-1
9527  ,3.172e+002  ,-541.93548584  ,250.00000000  ,150.00000000  ,TP02-1
28  ,3.165e+002  ,-575.80645752  ,250.00000000  ,150.00000000  ,TP02-1
9518  ,3.159e+002  ,-609.67742920  ,250.00000000  ,150.00000000  ,TP02-1
29  ,3.152e+002  ,-643.54833984  ,250.00000000  ,150.00000000  ,TP02-1
9509  ,3.146e+002  ,-677.41937256  ,250.00000000  ,150.00000000  ,TP02-1
30  ,3.139e+002  ,-711.29028320  ,250.00000000  ,150.00000000  ,TP02-1
9498  ,3.133e+002  ,-745.16131592  ,250.00000000  ,150.00000000  ,TP02-1
31  ,3.127e+002  ,-779.03222656  ,250.00000000  ,150.00000000  ,TP02-1
9488  ,3.122e+002  ,-812.90319824  ,250.00000000  ,150.00000000  ,TP02-1
32  ,3.117e+002  ,-846.77423096  ,250.00000000  ,150.00000000  ,TP02-1
9475  ,3.112e+002  ,-880.64514160  ,250.00000000  ,150.00000000  ,TP02-1
33  ,3.108e+002  ,-914.51617432  ,250.00000000  ,150.00000000  ,TP02-1
9464  ,3.105e+002  ,-948.38708496  ,250.00000000  ,150.00000000  ,TP02-1
34  ,3.102e+002  ,-982.25805664  ,250.00000000  ,150.00000000  ,TP02-1
9454  ,3.101e+002  ,-1016.12902832  ,250.00000000  ,150.00000000  ,TP02-1
35  ,3.100e+002  ,-1050.00000000  ,250.00000000  ,150.00000000  ,TP02-1
